Name,Formula,DeltaMass,MW,m/z,RT,Class of compounds,row_colors,Cluster,SilhouetteScore,HC_Cluster,HC_Silhouette,PCA_Silhouette,OPLS_Silhouette,Average_Silhouette
Proline,C5 H9 N O2,-1.88,115.06311,116.07039,0.927,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",2,0.29917230805813627,2,0.518834863145608,0.6126893049019643,0.6743003259448385,0.6019414979974703
L-(+)-Aspartic acid,C4 H7 N O4,-2.52,133.03717,134.04445,0.831,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",2,0.5258165553149694,2,0.4396425505582199,0.567475215367296,0.68253824004104,0.5632186686555186
?-CUBEBENE,C15 H24,-1.54,204.18749,205.19476,11.728,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.3202053778218843,2,0.35585034171975083,0.418435424068458,0.39295785567985714,0.38908120715602196
4-guanidinobutanal,C5 H11 N3 O,-3.19,129.0898,130.09708,1.144,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",2,0.4956214764241142,2,0.3311652382203294,0.5001710052393403,0.6634356735186236,0.4982573056594311
Indole-3-acetic acid,C10 H9 N O2,-1.41,175.06308,176.07036,3.975,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",3,0.061855395854404284,2,0.592067390206543,0.5730529403065313,0.2312442348163437,0.46545485510980594
Amino-levulinic acid,C5 H9 N O3,-2.63,131.0579,132.06521,0.817,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",2,0.5289142118870924,2,0.4230983666551048,0.5563718554034125,0.6750970689459833,0.5515224303348335
D-(?)-Morphine,C17 H19 N O3,-2.06,285.13591,286.14318,5.166,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",2,0.18751960951288235,2,0.4218207510318692,0.1476835688100738,0.38838460559759214,0.3192963084798451
.alpha.-Aminoadipic acid,C6 H11 N O4,-2.42,161.06842,162.0757,0.913,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",2,0.5457671119458893,2,0.45422806203588545,0.5707296911811803,0.7138284133489383,0.5795953888553347
L-?-Glutamyl-L-leucine,C11 H20 N2 O5,3.76,260.1382,261.14548,9.451,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",1,0.11290697251651269,3,0.33953233607046646,0.20714890171794223,0.568265550168006,0.37164892931880483
Itaconic acid,C5 H6 O4,-2.62,130.02627,302.08627,1.188,carboxylic acid,"(0.7871999999999999, 0.33999999999999997, 0.86)",2,0.44295070530358654,2,0.37092506821472054,0.4719137888884541,0.6743613938957742,0.5057334169996496
citramalic acid,C5 H8 O5,-2.89,148.03674,190.07045,0.898,other,"(0.86, 0.33999999999999997, 0.6207999999999999)",2,0.5558110394860454,2,0.3724575071753553,0.5125484227419461,0.7041863620211463,0.5297307639794826
Protocatechuic aldehyde,C7 H6 O3,-2.65,138.03133,180.06514,1.194,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",2,0.5610588918751325,2,0.4165392339992622,0.5495999779253126,0.7225566929128041,0.562898634945793
Indole-3-carbidol,C9 H9 N O,-1.5,147.06819,148.07547,6.911,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",3,0.06294916143889505,2,0.5333638996836774,0.4843794354340436,0.35999826702093324,0.4592472007128847
