Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
TP53,Tumor Protein P53,Protein Coding,P04637,66,GC17M007661,147.6441345,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,68,GC07P055019,95.20298767,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,66,GC07P117287,90.19008636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR
INS,Insulin,Protein Coding,P01308,61,GC11M002159,85.23059845,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
ACE,Angiotensin I Converting Enzyme,Protein Coding,P12821,64,GC17P063477,84.12268066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,64,GC09M021967,80.86034393,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,68,GC17P039687,80.41124725,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2
IL6,Interleukin 6,Protein Coding,P05231,64,GC07P022725,79.85418701,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
TNF,Tumor Necrosis Factor,Protein Coding,P01375,65,GC06P181893,78.03495026,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,67,GC07P116672,76.93084717,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET
GCK,Glucokinase,Protein Coding,P35557,62,GC07M045688,76.28029633,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,65,GC08P127735,74.25465393,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,64,GC18M063123,62.85520935,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
IL1B,Interleukin 1 Beta,Protein Coding,P01584,60,GC02M112829,60.21055222,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
ALB,Albumin,Protein Coding,P02768,61,GC04P073397,59.13243103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
BDNF-AS,BDNF Antisense RNA,RNA Gene,,31,GC11P027466,57.83804321,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,P16410,61,GC02P204860,56.41493988,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,P23560,62,GC11M027654,55.18013,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF
CP,Ceruloplasmin,Protein Coding,P00450,62,GC03M149162,54.48830414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP
EGF,Epidermal Growth Factor,Protein Coding,P01133,64,GC04P109912,54.34793472,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
PAX6,Paired Box 6,Protein Coding,P26367,61,GC11M031784,53.5753479,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6
BMP4,Bone Morphogenetic Protein 4,Protein Coding,P12644,62,GC14M053949,51.65129471,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,66,GC21P031659,51.20827103,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1
COMT,Catechol-O-Methyltransferase,Protein Coding,P21964,64,GC22P019941,49.95635223,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT
ADA,Adenosine Deaminase,Protein Coding,P00813,64,GC20M044620,49.57420349,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA
F2,"Coagulation Factor II, Thrombin",Protein Coding,P00734,63,GC11P049059,49.51199341,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2
REN,Renin,Protein Coding,P00797,61,GC01M204154,48.30030441,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN
GAA,Alpha Glucosidase,Protein Coding,P10253,64,GC17P080101,47.88245392,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA
GLA,Galactosidase Alpha,Protein Coding,P06280,62,GC0XM101393,46.59823227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA
SOX2,SRY-Box Transcription Factor 2,Protein Coding,P48431,58,GC03P181711,46.34186935,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2
B2M,Beta-2-Microglobulin,Protein Coding,P61769,62,GC15P044711,46.03505707,https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,64,GC14P075278,44.99340057,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,P15941,61,GC01M155185,44.95402145,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
CASP3,Caspase 3,Protein Coding,P42574,62,GC04M184627,44.94315338,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3
MMP1,Matrix Metallopeptidase 1,Protein Coding,P03956,62,GC11M140392,44.89339447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
GUSB,Glucuronidase Beta,Protein Coding,P08236,62,GC07M065960,44.78461456,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB
TF,Transferrin,Protein Coding,P02787,64,GC03P143239,44.2505188,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF
DES,Desmin,Protein Coding,P17661,61,GC02P219418,44.15517807,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES
GATA1,GATA Binding Protein 1,Protein Coding,P15976,59,GC0XP048786,43.51084518,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1
IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,P18510,62,GC02P154111,43.38930511,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
NAGLU,N-Acetyl-Alpha-Glucosaminidase,Protein Coding,P54802,58,GC17P154848,42.99199295,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGLU
SLC17A5,Solute Carrier Family 17 Member 5,Protein Coding,Q9NRA2,58,GC06M073593,42.9556427,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,P08684,61,GC07M106698,42.370327,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4
AGTR1,Angiotensin II Receptor Type 1,Protein Coding,P30556,65,GC03P148697,42.3416748,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1
CTSK,Cathepsin K,Protein Coding,P43235,62,GC01M167274,42.11549377,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK
SLC6A4,Solute Carrier Family 6 Member 4,Protein Coding,P31645,61,GC17M030194,41.74525833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4
ELANE,"Elastase, Neutrophil Expressed",Protein Coding,P08246,64,GC19P151362,41.44153976,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,Q15848,59,GC03P186842,40.60359955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
FLNC,Filamin C,Protein Coding,Q14315,57,GC07P128830,40.2651062,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNC
CD36,CD36 Molecule (CD36 Blood Group),Protein Coding,P16671,63,GC07P080369,39.95454407,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36
CCND2,Cyclin D2,Protein Coding,P30279,61,GC12P074004,39.40235901,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2
TBP,TATA-Box Binding Protein,Protein Coding,P20226,62,GC06P170554,39.31212234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBP
BMP6,Bone Morphogenetic Protein 6,Protein Coding,P22004,57,GC06P007726,38.90831375,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6
MAF,MAF BZIP Transcription Factor,Protein Coding,O75444,58,GC16M079204,38.80582047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAF
HGF,Hepatocyte Growth Factor,Protein Coding,P14210,65,GC07M081699,38.2845459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF
MME,Membrane Metalloendopeptidase,Protein Coding,P08473,62,GC03P155024,38.1721611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME
VIM,Vimentin,Protein Coding,P08670,64,GC10P017227,38.08773422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
CEL,Carboxyl Ester Lipase,Protein Coding,P19835,58,GC09P133061,37.66498947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEL
AMY2B,Amylase Alpha 2B,Protein Coding,P19961,52,GC01P103554,37.41733551,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY2B
AMY1A,Amylase Alpha 1A,Protein Coding,P0DUB6,42,GC01P103651,37.38679886,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY1A
PLG,Plasminogen,Protein Coding,P00747,62,GC06P160702,37.38222122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG
SP1,Sp1 Transcription Factor,Protein Coding,P08047,60,GC12P053380,37.33952332,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1
CAT,Catalase,Protein Coding,P04040,64,GC11P034460,37.29299164,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT
AMY2A,Amylase Alpha 2A,Protein Coding,P04746,50,GC01P103616,36.04171753,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMY2A
SERPINC1,Serpin Family C Member 1,Protein Coding,P01008,62,GC01M175158,35.57145309,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1
GBE1,"1,4-Alpha-Glucan Branching Enzyme 1",Protein Coding,Q04446,57,GC03M081489,35.40700531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBE1
